topo_bm_high,S_creation,net_id,topo_rand_basal,net_type,Int_realised,dyn_rand_basal,C_creation,t_val,topo_rand_consumer,C_realised,topo_bm_low,S_realised,dyn_bm_low,dyn_bm_high,Int_init,dyn_rand_consumer
0.4423076923076923,52,11,0.17307692307692307,niche,0,0.17307692307692307,0.14718934911242604,50,0.4807692307692308,0.14718934911242604,0.2064102564102564,52,0.4230769230769231,0.4230769230769231,0,0.4230769230769231
0.5,52,11,0.12217194570135746,down_size,15,0.15384615384615385,0.13165680473372782,50,0.4423076923076923,0.13165680473372782,0.3076923076923077,52,0.2692307692307692,0.27884615384615385,10,0.23076923076923078
0.4807692307692308,52,11,0.14476495726495728,niche_down,40,0.08774038461538462,0.1235207100591716,50,0.4807692307692308,0.1235207100591716,0.4807692307692308,52,0.09294871794871795,0.08974358974358974,39,0.09134615384615385
0.5,52,11,0.12789473684210526,atn,8,0.19230769230769232,0.1878698224852071,50,0.5,0.2032,0.5,50,0.5,0.5,8,0.5
0.4607843137254902,52,11,0.19444444444444445,down,38,0.20512820512820512,0.08579881656804733,50,0.48039215686274506,0.08919646289888504,0.28431372549019607,51,0.25,0.3269230769230769,39,0.2371794871794872
0.44871794871794873,52,12,0.23076923076923078,niche,0,0.23076923076923078,0.1205621301775148,50,0.41025641025641024,0.1205621301775148,0.24321266968325791,52,0.4519230769230769,0.46153846153846156,0,0.4807692307692308
0.325,52,12,0.20500000000000002,down_size,20,0.4807692307692308,0.07285502958579881,50,0.45,0.123125,0.4,40,0.46153846153846156,0.5,22,0.4807692307692308
0.5,52,12,0.14505494505494507,niche_down,46,0.09981684981684982,0.1268491124260355,50,0.5,0.1268491124260355,0.5,52,0.12564102564102564,0.12225274725274725,58,0.12139423076923077
0.5,52,12,0.1471794871794872,atn,6,0.19230769230769232,0.20821005917159763,50,0.5,0.2252,0.5,50,0.5,0.5,6,0.5
0.3431372549019608,52,12,0.18627450980392157,down,52,0.28846153846153844,0.07211538461538461,50,0.4215686274509804,0.07497116493656286,0.32352941176470584,51,0.3076923076923077,0.3269230769230769,48,0.28846153846153844
0.5,52,13,0.11538461538461539,niche,0,0.11538461538461539,0.14829881656804733,50,0.46794871794871795,0.14829881656804733,0.17307692307692307,52,0.4230769230769231,0.36538461538461536,0,0.40384615384615385
0.5,52,13,0.1282051282051282,down_size,10,0.15384615384615385,0.1305473372781065,50,0.46153846153846156,0.1305473372781065,0.3269230769230769,52,0.40384615384615385,0.3557692307692307,10,0.25
0.5,52,13,0.14505494505494507,niche_down,52,0.09615384615384616,0.1242603550295858,50,0.4807692307692308,0.1242603550295858,0.4807692307692308,52,0.09763313609467456,0.10256410256410257,52,0.12179487179487179
0.5,52,13,0.14837209302325582,atn,10,0.19230769230769232,0.22004437869822485,50,0.48,0.238,0.46,50,0.5,0.5,10,0.5
0.4,52,13,0.12571428571428572,down,63,0.21153846153846154,0.07655325443786982,50,0.5,0.0828,0.42,50,0.21153846153846154,0.25,65,0.19230769230769232
0.46153846153846156,52,14,0.15384615384615385,niche,0,0.15384615384615385,0.08284023668639054,50,0.4423076923076923,0.08284023668639054,0.16384615384615384,52,0.46153846153846156,0.4423076923076923,0,0.40384615384615385
0.40957446808510634,52,14,0.18085106382978722,down_size,21,0.36538461538461536,0.07951183431952663,50,0.4574468085106383,0.09732910819375283,0.32978723404255317,47,0.34615384615384615,0.46153846153846156,19,0.4230769230769231
0.4423076923076923,52,14,0.13927738927738928,niche_down,42,0.09134615384615385,0.0650887573964497,50,0.5,0.0650887573964497,0.4807692307692308,52,0.11965811965811966,0.1098901098901099,41,0.1346153846153846
0.5,52,14,0.1878048780487805,atn,10,0.23076923076923078,0.20857988165680474,50,0.5,0.2256,0.5,50,0.5,0.5,10,0.5
0.48039215686274506,52,14,0.20588235294117646,down,56,0.19230769230769232,0.07692307692307693,50,0.5,0.07996924259900039,0.4215686274509804,51,0.21153846153846154,0.23076923076923078,61,0.2596153846153846
0.46153846153846156,52,15,0.23076923076923078,niche,0,0.23076923076923078,0.05917159763313609,50,0.46153846153846156,0.05917159763313609,0.23520710059171598,52,0.4423076923076923,0.38461538461538464,0,0.40384615384615385
0.44285714285714284,52,15,0.30714285714285716,down_size,9,0.5,0.055103550295857985,50,0.29047619047619044,0.12163265306122449,0.38571428571428573,35,0.3269230769230769,0.3269230769230769,9,0.3269230769230769
