S_creation,net_id,topo_rand_basal,I_realised,net_type,dyn_degree_high,dyn_rand_basal,C_creation,t_val,I_creation,topo_rand_consumer,C_realised,topo_bm_low,S_realised,dyn_bm_low,topo_degree_high,C_target,dyn_rand_consumer
52,35,0.19954954954954957,0,metaweb,0.21153846153846154,0.15384615384615385,0.17492603550295857,5000,14,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.11883874227625116,0.21153846153846154
52,35,0.2,0,niche,0.057692307692307696,0.01612903225806452,0.11649408284023668,5000,0,0.38,0.1184,0.2733333333333334,25,0.038461538461538464,0.33999999999999997,0.11883874227625116,0.057692307692307696
52,35,0.4807692307692308,2,down_rand,0.012195121951219513,0.011627906976744186,0.11871301775147929,5000,85,0.2948717948717949,0.14792899408284024,0.4807692307692308,13,0.012195121951219513,0.22115384615384617,0.11883874227625116,0.012195121951219513
52,35,0.3611111111111111,0,down_link,0.0125,0.012195121951219513,0.11871301775147929,5000,79,0.4166666666666667,0.16666666666666666,0.375,12,0.0125,0.2833333333333333,0.11883874227625116,0.0125
52,35,0.1846774193548387,7,down_niche,0.25,0.15384615384615385,0.11871301775147929,5000,54,0.5,0.14375,0.5,40,0.21153846153846154,0.5,0.11883874227625116,0.23076923076923078
52,35,0.25,0,atn,0.013157894736842106,0.01282051282051282,0.13498520710059173,5000,0,0.4,0.18,0.4166666666666667,10,0.013157894736842106,0.45,0.11883874227625116,0.013157894736842106
52,36,0.5,0,down_power,0.011904761904761906,0.011627906976744186,0.1283284023668639,5000,70,0.1285714285714286,0.13,0.1285714285714286,10,0.011904761904761906,0.1285714285714286,0.12847302674265296,0.011904761904761906
52,36,0.17708333333333331,0,metaweb,0.21153846153846154,0.15384615384615385,0.17492603550295857,5000,10,0.5,0.16439909297052155,0.5,42,0.21153846153846154,0.4523809523809524,0.12847302674265296,0.23076923076923078
52,36,0.22727272727272727,0,niche,0.21153846153846154,0.06410256410256411,0.11612426035502958,5000,0,0.45454545454545453,0.12035123966942149,0.42045454545454547,44,0.2692307692307692,0.4090909090909091,0.12847302674265296,0.17307692307692307
52,36,0.5,0,down_rand,0.011904761904761906,0.011627906976744186,0.1283284023668639,5000,80,0.1285714285714286,0.12,0.1285714285714286,10,0.011904761904761906,0.1285714285714286,0.12847302674265296,0.011904761904761906
52,36,0.5,0,down_link,0.011627906976744186,0.011363636363636366,0.1283284023668639,5000,80,0.0625,0.109375,0.2916666666666667,8,0.011627906976744186,0.0625,0.12847302674265296,0.011627906976744186
52,36,0.19419237749546278,5,down_niche,0.21153846153846154,0.15384615384615385,0.1283284023668639,5000,52,0.5,0.14958448753462603,0.5,38,0.21153846153846154,0.5,0.12847302674265296,0.23076923076923078
52,36,0.26190476190476186,0,atn,0.01282051282051282,0.01282051282051282,0.13683431952662722,5000,0,0.5,0.2222222222222222,0.3611111111111111,9,0.013157894736842106,0.5,0.12847302674265296,0.013157894736842106
52,37,0.45833333333333337,1,down_power,0.0125,0.011627906976744186,0.1364644970414201,5000,60,0.16666666666666666,0.125,0.3611111111111111,12,0.0125,0.16666666666666666,0.13659285117076658,0.0125
52,37,0.19954954954954957,0,metaweb,0.23076923076923078,0.15384615384615385,0.17492603550295857,5000,10,0.5,0.16946676406135866,0.5,37,0.23076923076923078,0.5,0.13659285117076658,0.23076923076923078
52,37,0.2096774193548387,0,niche,0.057692307692307696,0.038461538461538464,0.13239644970414202,5000,0,0.45698924731182794,0.13527575442247658,0.3709677419354839,31,0.07692307692307693,0.3951612903225806,0.13659285117076658,0.07692307692307693
52,37,0.43333333333333335,2,down_rand,0.012195121951219513,0.011627906976744186,0.1364644970414201,5000,55,0.33809523809523806,0.13777777777777778,0.48333333333333334,15,0.012195121951219513,0.2583333333333333,0.13659285117076658,0.012195121951219513
52,37,0.5,0,down_link,0.011904761904761906,0.011363636363636366,0.1364644970414201,5000,64,0.1375,0.14,0.22857142857142856,10,0.011904761904761906,0.1375,0.13659285117076658,0.011904761904761906
52,37,0.1989748369058714,5,down_niche,0.21153846153846154,0.15384615384615385,0.1364644970414201,5000,51,0.5,0.15412710007304603,0.5,37,0.21153846153846154,0.5,0.13659285117076658,0.21153846153846154
52,37,0.24025974025974026,0,atn,0.013157894736842106,0.01282051282051282,0.13683431952662722,5000,28,0.4642857142857143,0.15816326530612246,0.5,14,0.013157894736842106,0.42857142857142855,0.13659285117076658,0.01282051282051282
52,38,0.5,0,down_power,0.011627906976744186,0.011363636363636366,0.14571005917159763,5000,39,0.05555555555555555,0.09876543209876543,0.05555555555555555,9,0.011627906976744186,0.05555555555555555,0.1458110179517113,0.011627906976744186
52,38,0.19954954954954957,0,metaweb,0.21153846153846154,0.15384615384615385,0.17492603550295857,5000,10,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.1458110179517113,0.21153846153846154
52,38,0.3222222222222222,0,niche,0.28846153846153844,0.19230769230769232,0.13165680473372782,5000,0,0.45555555555555555,0.13728395061728396,0.31666666666666665,45,0.2980769230769231,0.3055555555555556,0.1458110179517113,0.3269230769230769
52,38,0.5,0,down_rand,0.011904761904761906,0.011627906976744186,0.14571005917159763,5000,41,0.12222222222222222,0.12345679012345678,0.25,9,0.011904761904761906,0.12222222222222222,0.1458110179517113,0.011904761904761906
52,38,0.5,0,down_link,0.011627906976744186,0.011627906976744186,0.14571005917159763,5000,45,0.1597222222222222,0.13580246913580246,0.26190476190476186,9,0.011904761904761906,0.12222222222222222,0.1458110179517113,0.011904761904761906
52,38,0.19954954954954957,0,down_niche,0.21153846153846154,0.15384615384615385,0.14571005917159763,5000,43,0.5,0.16654492330168005,0.5,37,0.21153846153846154,0.5,0.1458110179517113,0.23076923076923078
52,38,0.2357142857142857,0,atn,0.013157894736842106,0.01282051282051282,0.1227810650887574,5000,0,0.5,0.15816326530612246,0.44047619047619047,14,0.013157894736842106,0.5,0.1458110179517113,0.013157894736842106
52,39,0.5,1,down_power,0.012195121951219513,0.011904761904761906,0.11723372781065089,5000,69,0.2,0.12,0.31666666666666665,10,0.012195121951219513,0.16666666666666669,0.11723728499273803,0.012195121951219513
52,39,0.19954954954954957,0,metaweb,0.21153846153846154,0.15384615384615385,0.17492603550295857,5000,10,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.11723728499273803,0.21153846153846154
52,39,0.2571428571428571,0,niche,0.11538461538461539,0.07051282051282051,0.11057692307692307,5000,0,0.44285714285714284,0.09387755102040816,0.3928571428571429,35,0.11538461538461539,0.33571428571428574,0.11723728499273803,0.08333333333333334
52,39,0.5,0,down_rand,0.011904761904761906,0.011627906976744186,0.11723372781065089,5000,79,0.11666666666666667,0.1,0.2,10,0.011904761904761906,0.11666666666666667,0.11723728499273803,0.011904761904761906
52,39,0.5,0,down_link,0.0125,0.012195121951219513,0.11723372781065089,5000,92,0.2922077922077922,0.1487603305785124,0.40909090909090906,11,0.0125,0.20454545454545453,0.11723728499273803,0.0125
52,39,0.19954954954954957,0,down_niche,0.23076923076923078,0.15384615384615385,0.11723372781065089,5000,24,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.11723728499273803,0.23076923076923078
52,39,0.31666666666666665,0,atn,0.012195121951219513,0.011904761904761906,0.1279585798816568,5000,0,0.45,0.19,0.4,10,0.012195121951219513,0.4,0.11723728499273803,0.0125
52,40,0.3269230769230769,0,down_power,0.013157894736842106,0.013157894736842106,0.10761834319526627,5000,58,0.2435897435897436,0.07692307692307693,0.44230769230769235,13,0.013513513513513514,0.2435897435897436,0.10762998583662123,0.013157894736842106
52,40,0.19954954954954957,0,metaweb,0.23076923076923078,0.15384615384615385,0.17492603550295857,5000,14,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.10762998583662123,0.21153846153846154
