topo_bm_high,net_id,topo_rand_basal,dyn_vul_low,dyn_gen_high,dyn_degree_high,dyn_rand_basal,topo_degree_low,S,dyn_degree_low,topo_vul_low,topo_rand_consumer,topo_gen_low,topo_bm_low,dyn_bm_low,dyn_bm_high,topo_gen_high,dyn_vul_high,dyn_gen_low,topo_degree_high,topo_vul_high,dyn_rand_consumer,C
0.5,33,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2692307692307693,0.5,28,0.39285714285714285,0.5,0.42857142857142855,0.5,0.35714285714285715,0.4134615384615385,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.3942307692307693,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.14216181557093902
0.46875,34,0.23958333333333334,0.27419354838709675,0.23333333333333334,0.3333333333333333,0.5,0.5,35,0.3790322580645161,0.5,0.5,0.5,0.34375,0.43548387096774194,0.3064516129032258,0.5,0.2857142857142857,0.12365591397849462,0.5,0.453125,0.5,0.12987769524627885
0.5,35,0.5,0.46875,0.4375,0.40625,0.203125,0.5,36,0.3709677419354839,0.5,0.4696969696969697,0.5,0.32575757575757575,0.2125,0.3787878787878788,0.4621212121212121,0.46875,0.3229166666666667,0.4636363636363636,0.5,0.4375,0.13524366127162873
0.5,36,0.5,0.45918367346938777,0.27959183673469384,0.28826530612244894,0.5,0.5,58,0.2142857142857143,0.5,0.48,0.5,0.44,0.14333333333333334,0.24319727891156462,0.5,0.2755102040816326,0.206436420722135,0.42,0.42333333333333334,0.5,0.17561776293521214
0.30952380952380953,37,0.21428571428571427,0.5,0.5,0.5,0.3333333333333333,0.5,45,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.375,0.3333333333333333,0.5,0.5,0.5,0.22998871238971513
0.375,38,0.3222222222222222,0.4375,0.5,0.4375,0.2692307692307693,0.5,48,0.3666666666666667,0.5,0.5,0.5,0.3666666666666667,0.5,0.4375,0.5,0.25,0.42307692307692313,0.5,0.5,0.4375,0.15373803615685183
0.35000000000000003,39,0.23333333333333334,0.5,0.5,0.5,0.5,0.5,54,0.5,0.5,0.5,0.5,0.16666666666666669,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.16328185545453094
0.5,40,0.20833333333333334,0.3125,0.23333333333333334,0.23333333333333334,0.5,0.5,23,0.27564102564102566,0.5,0.5,0.5,0.3125,0.3666666666666667,0.3666666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.1839343672582802
0.39583333333333337,41,0.25,0.44565217391304346,0.19565217391304346,0.19565217391304346,0.5,0.5,29,0.4565217391304348,0.5,0.5,0.5,0.375,0.32065217391304346,0.25,0.5,0.5,0.3115942028985507,0.5,0.5,0.4565217391304348,0.13120911189269305
0.5,42,0.5,0.1875,0.40625,0.3392857142857143,0.22,0.5,38,0.28125,0.5,0.5,0.5,0.4356060606060606,0.09375,0.3181818181818182,0.5,0.24074074074074073,0.22,0.5,0.5,0.3984375,0.18381033078947434
0.4090909090909091,43,0.5,0.21428571428571427,0.30952380952380953,0.40476190476190477,0.5,0.5,42,0.3026315789473684,0.4090909090909091,0.4090909090909091,0.5,0.5,0.35833333333333334,0.22727272727272727,0.38636363636363635,0.25,0.16666666666666669,0.36363636363636365,0.4090909090909091,0.22727272727272727,0.16069512718090243
