"species","size","motility","feeding","tiering","time_pre_during_post","respiratory_protein","physiological_buffering"
"Sargentina_postacuta","tiny","slow_moving","herbivore","epifaunal","1,2","hemocyanin","buffered"
"Sulcella_suprapermiana","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Araxathyris_sp","small","nonmotile_attached","herbivore","epifaunal","2","hemerythrin","unbuffered"
"Atyhris_royssii","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Atyhris_planosulcata","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Comelicania_haueri","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Comelicania_megalotis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Comelicania_merlai","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Comelicothyris_laterosulcata","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Comelicothyris_recticardinis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Dielasma_cf_plica","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Dielasma_pentagonum","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Dielasma_cf_truncatum","small","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Hemiptychina_sublaevis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Hemiptychina_orientalis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Janiceps_bipartita","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Janiceps_cadorica","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Janiceps_papilio","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Janiceps_peracuta","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Janiceps_impar","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Martinia_gibbosa","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Martinia_gigantea","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Martinia_glabra","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Martinia_trigona","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Notothyris_nucleola_baroghilensis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Ombonia_tirolensis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Orbicoelia_dolomitensis","small","nonmotile_attached","herbivore","epifaunal","2","hemerythrin","unbuffered"
"Orthothetina_ladina","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Productus_abichi","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Productus_sp","small","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
